iter	Logloss
0	0.6840189816
1	0.6754675836
2	0.6674573216
3	0.6599545081
4	0.6530772689
5	0.6460776323
6	0.6397836617
7	0.6338902556
8	0.6281958189
9	0.623218092
10	0.6181919479
11	0.6136029798
12	0.6093109263
13	0.6053228626
14	0.6015553334
15	0.597921747
16	0.5946197984
17	0.5897676669
18	0.5851377281
19	0.5817098964
20	0.5779143239
21	0.5742767965
22	0.5702086392
23	0.5664811018
24	0.5630460823
25	0.5597940107
26	0.5565351832
27	0.553551423
28	0.5508575916
29	0.5484147916
30	0.5461210445
31	0.544042596
32	0.5419136947
33	0.53993213
34	0.5379746965
35	0.5363712663
36	0.5347627502
37	0.5330433778
38	0.5316559567
39	0.5300716975
40	0.5287504118
41	0.5273656177
42	0.5259919695
43	0.5246270657
44	0.5238354523
45	0.5229591037
46	0.5220198594
47	0.5211080816
48	0.5201473152
49	0.5191903448
50	0.5183378771
51	0.5174871141
52	0.5166891716
53	0.5159436971
54	0.5152208651
55	0.5145958896
56	0.5140239905
57	0.5135086972
58	0.5130000294
59	0.5125385684
60	0.5119956887
61	0.5115223777
62	0.5110395367
63	0.5105702858
64	0.5101510812
65	0.509606684
66	0.5092492783
67	0.5089486028
68	0.5087415606
69	0.5083406913
70	0.5080167345
71	0.5075597336
72	0.5071603986
73	0.5070652506
74	0.5067717423
75	0.506507144
76	0.5062588297
77	0.5060785303
78	0.5057908197
79	0.505585361
80	0.5054400494
81	0.5052831082
82	0.5050357128
83	0.5049561828
84	0.5047544054
85	0.5045201329
86	0.5044034468
87	0.504221429
88	0.5039207874
89	0.5036890434
90	0.5033976862
91	0.5031930573
92	0.5029822772
93	0.5029640499
94	0.5027303378
95	0.5025266424
96	0.5023161483
97	0.5021476248
98	0.5020112599
99	0.5017935164
100	0.5016017907
101	0.5015491366
102	0.5013261016
103	0.5011271706
104	0.5009712832
105	0.5008352935
106	0.5008041811
107	0.5005872404
108	0.5004655475
109	0.5003630972
110	0.5002966227
111	0.5001454141
112	0.5000315376
113	0.4998440851
114	0.4996704073
115	0.4995272695
116	0.4994720788
117	0.4993507144
