iter	Passed	Remaining
0	56	39288
1	60	21022
2	66	15338
3	71	12418
4	74	10392
5	81	9382
6	84	8388
7	88	7677
8	94	7250
9	97	6741
10	103	6472
11	106	6123
12	110	5828
13	115	5649
14	119	5458
15	123	5299
16	127	5127
17	133	5072
18	140	5044
19	145	4935
20	150	4855
21	154	4754
22	161	4748
23	166	4697
24	173	4673
25	179	4640
26	185	4633
27	192	4615
28	198	4593
29	202	4530
30	207	4479
31	212	4438
32	218	4416
33	225	4412
34	230	4372
35	236	4353
36	240	4312
37	247	4304
38	253	4294
39	260	4290
40	265	4271
41	271	4255
42	278	4248
43	284	4246
44	289	4212
45	294	4185
46	300	4172
47	306	4164
48	312	4154
49	318	4141
50	325	4135
51	332	4144
52	340	4150
53	346	4142
54	352	4134
55	358	4124
56	364	4113
57	370	4103
58	375	4083
59	381	4068
60	388	4066
61	395	4066
62	401	4062
63	408	4059
64	415	4054
65	421	4050
66	427	4041
67	432	4019
68	437	3996
69	443	3987
70	449	3983
71	456	3981
72	462	3974
73	466	3945
74	473	3942
75	478	3928
76	485	3925
77	489	3905
78	496	3901
79	502	3897
80	508	3889
81	513	3872
82	520	3868
83	524	3845
84	532	3851
85	538	3844
86	543	3829
87	550	3826
88	557	3828
89	565	3830
90	573	3836
91	580	3838
92	587	3831
93	590	3808
94	597	3806
95	604	3800
96	611	3803
97	617	3796
98	622	3780
99	629	3776
100	636	3773
101	640	3757
102	648	3756
103	654	3753
104	662	3753
105	669	3753
106	673	3733
107	681	3738
108	689	3735
109	695	3730
110	700	3718
111	709	3726
112	718	3731
113	726	3733
114	733	3732
115	740	3728
116	747	3725
117	754	3721
118	760	3714
119	768	3712
120	775	3711
121	782	3708
122	790	3710
123	799	3712
124	806	3710
125	814	3712
126	821	3704
127	827	3697
128	834	3695
129	841	3691
130	848	3686
131	855	3681
132	862	3679
133	870	3675
134	873	3654
135	879	3649
136	886	3643
137	895	3646
138	904	3650
139	912	3650
140	921	3652
141	926	3640
142	933	3636
143	941	3635
144	949	3633
145	957	3633
146	962	3620
147	967	3606
148	973	3601
149	979	3592
150	984	3579
151	991	3573
152	994	3555
153	1000	3547
154	1008	3547
155	1012	3530
156	1021	3532
157	1028	3527
158	1033	3518
159	1042	3518
160	1050	3517
161	1058	3513
162	1066	3512
163	1075	3515
164	1080	3504
165	1084	3488
166	1089	3478
167	1095	3469
168	1104	3470
169	1111	3466
170	1117	3456
171	1124	3453
172	1132	3449
173	1138	3441
174	1146	3438
175	1153	3432
176	1158	3421
177	1164	3415
178	1172	3411
179	1176	3398
180	1183	3393
181	1190	3389
182	1194	3374
183	1197	3359
184	1205	3355
185	1211	3348
186	1219	3344
187	1225	3337
188	1232	3331
189	1236	3318
190	1241	3307
191	1247	3300
192	1255	3297
193	1261	3289
194	1266	3279
195	1272	3272
196	1279	3267
197	1286	3262
198	1292	3255
199	1297	3242
200	1301	3232
201	1308	3226
202	1314	3217
203	1319	3207
204	1323	3195
205	1331	3192
206	1335	3180
207	1341	3173
208	1346	3162
209	1352	3154
210	1357	3144
211	1363	3138
212	1370	3132
213	1377	3127
214	1381	3116
215	1388	3112
216	1393	3102
217	1400	3095
218	1407	3090
219	1411	3079
220	1417	3072
221	1421	3060
222	1425	3049
223	1430	3040
224	1437	3034
225	1441	3023
226	1447	3016
227	1451	3005
228	1455	2993
229	1462	2989
230	1467	2979
231	1473	2973
232	1481	2969
233	1486	2959
234	1494	2956
235	1502	2953
236	1506	2942
237	1513	2937
238	1518	2928
239	1522	2918
240	1528	2911
241	1534	2904
242	1541	2898
243	1547	2892
244	1554	2887
245	1559	2877
246	1565	2871
247	1573	2867
248	1576	2855
249	1582	2848
250	1588	2841
251	1595	2836
252	1600	2828
253	1604	2816
254	1610	2810
255	1618	2806
256	1622	2797
257	1629	2791
258	1633	2781
259	1638	2772
260	1642	2763
261	1649	2758
262	1655	2750
263	1659	2740
264	1664	2732
265	1670	2725
266	1676	2718
267	1683	2713
268	1690	2708
269	1697	2703
270	1704	2698
271	1711	2693
272	1716	2684
273	1721	2676
274	1728	2671
275	1735	2666
276	1740	2657
277	1747	2653
278	1755	2649
279	1759	2639
280	1766	2633
281	1770	2624
282	1777	2619
283	1785	2614
284	1788	2604
285	1795	2599
286	1804	2596
287	1810	2589
288	1814	2581
289	1819	2571
290	1826	2566
291	1834	2562
292	1840	2557
293	1847	2550
294	1854	2545
295	1862	2541
296	1868	2535
297	1875	2529
298	1879	2520
299	1886	2515
300	1891	2507
301	1895	2498
302	1902	2493
303	1909	2487
304	1914	2479
305	1920	2472
306	1927	2467
307	1932	2459
308	1937	2451
309	1943	2444
310	1947	2435
311	1954	2430
312	1958	2421
313	1964	2415
314	1972	2410
315	1979	2404
316	1985	2398
317	1993	2394
318	1999	2388
319	2005	2381
320	2009	2372
321	2014	2364
322	2021	2359
323	2026	2351
324	2032	2345
325	2038	2338
326	2043	2331
327	2049	2324
328	2053	2315
329	2061	2310
330	2066	2303
331	2072	2297
332	2079	2291
333	2086	2286
334	2094	2282
335	2101	2276
336	2110	2272
337	2118	2268
338	2124	2261
339	2130	2256
340	2137	2250
341	2144	2245
342	2150	2238
343	2157	2232
344	2164	2226
345	2170	2220
346	2177	2215
347	2183	2208
348	2190	2203
349	2196	2196
350	2203	2190
351	2209	2184
352	2217	2179
353	2222	2172
354	2229	2166
355	2236	2161
356	2242	2154
357	2249	2148
358	2257	2143
359	2264	2138
360	2271	2132
361	2277	2126
362	2284	2120
363	2290	2113
364	2296	2107
365	2303	2102
366	2310	2096
367	2315	2089
368	2323	2084
369	2329	2078
370	2336	2072
371	2343	2066
372	2350	2060
373	2356	2054
374	2363	2048
375	2370	2042
376	2376	2036
377	2383	2030
378	2390	2024
379	2398	2019
380	2404	2012
381	2411	2007
382	2417	2000
383	2423	1994
384	2429	1988
385	2436	1982
386	2442	1975
387	2449	1969
388	2455	1963
389	2462	1957
390	2468	1951
391	2476	1945
392	2483	1939
393	2490	1933
394	2497	1928
395	2504	1922
396	2510	1916
397	2517	1910
398	2524	1904
399	2531	1898
400	2537	1891
401	2544	1885
402	2550	1879
403	2556	1873
404	2562	1866
405	2569	1860
